id,symbol,name,publisher,instrument_class,currency,exchange,mic,asset,security_type,min_lot_size,expiration,max_price_variation,unit_of_measure_qty,min_price_increment,display_factor,price_display_format,price_ratio REAL,underlying_symbol,maturity_year,maturity_month,maturity_day,group,tick_rule,strike_price,strike_price_currency
4352,ALK,ALASKA AIR GROUP INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Airlines,,,
4357,ALL,ALLSTATE CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Insurance,,,
1946967,ATI,ATI INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Aerospace/Defense,,,
2746144,ALV,AUTOLIV INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Auto Parts&amp;Equipment,,,
4382,ALX,ALEXANDER'S INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,REITS,,,
4392,AME,AMETEK INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electrical Compo&amp;Equip,,,
4528615,AN,AUTONATION INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Retail,,,
2585399,ANF,ABERCROMBIE & FITCH CO-CL A,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Retail,,,
12225,AOS,SMITH (A.O.) CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Miscellaneous Manufactur,,,
4471,AP,AMPCO-PITTSBURGH CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Metal Fabricate/Hardware,,,
4487,APD,AIR PRODUCTS & CHEMICALS INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Chemicals,,,
4493,APH,AMPHENOL CORP-CL A,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electronics,,,
4568,ARW,ARROW ELECTRONICS INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Electronics,,,
4580,ASA,ASA GOLD AND PRECIOUS METALS,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,,,,
7816,ASG,LIBERTY ALL-STAR GROWTH FD,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,,,,
4694,AVY,AVERY DENNISON CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Household Products/Wares,,,
4644,ATO,ATMOS ENERGY CORP,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Gas,,,
4651,ATR,APTARGROUP INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Packaging&amp;Containers,,,
5026974,AVB,AVALONBAY COMMUNITIES INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,REITS,,,
4750,AZO,AUTOZONE INC,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Retail,,,
4762,BA,BOEING CO/THE,,K,USD,NYSE,XNYS,,,,,,,,,,,,,,,Aerospace/Defense,,,
